####################################################################################################
# Month: 11Nov                                                                                     #
# Station: MOR                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,11,25,1,3.856787
2009,11,25,2,3.577261
2009,11,25,3,2.34438
2009,11,25,4,1.219435
2009,11,25,5,0.564589
2009,11,25,6,0.276303
2009,11,25,7,0.374608
2009,11,26,0,0.824926
2009,11,26,1,1.174656
2009,11,26,2,1.921096
2009,11,26,3,2.112914
2009,11,26,4,1.744474
2009,11,26,5,1.821877
2009,11,26,6,1.158505
2009,11,26,7,1.678581
2009,11,27,0,1.472125
2009,11,27,1,1.708708
2009,11,27,2,3.466976
2009,11,27,3,5.322614
2009,11,27,4,4.917603
2009,11,27,5,3.626184
2009,11,27,6,3.316972
2009,11,27,7,3.391264
2009,11,28,0,3.039032
2009,11,28,1,3.785145
2009,11,28,2,3.998001
2009,11,28,3,4.433662
2009,11,28,4,2.688083
2009,11,28,5,2.298418
2009,11,28,6,3.149687
2009,11,28,7,4.007053
2009,11,29,0,5.764047
2009,11,29,1,6.967009
2009,11,29,2,7.406748
2009,11,29,3,8.896252
2009,11,29,4,9.523531
2009,11,29,5,8.953407
2009,11,29,6,9.549376
2009,11,29,7,12.860838
2009,11,30,0,13.615303
2009,11,30,1,15.521527
2009,11,30,2,16.160585
2009,11,30,3,16.477062
2009,11,30,4,16.585526
2009,11,30,5,14.537945
2009,11,30,6,13.296722
2009,11,30,7,10.630319
2010,11,1,0,15.781019
2010,11,1,1,12.920136
2010,11,1,2,10.044462
2010,11,1,3,8.865613
2010,11,1,4,7.532235
2010,11,1,5,4.34342
2010,11,1,6,2.745554
2010,11,1,7,3.311736
2010,11,2,0,5.788787
2010,11,2,1,6.521984
2010,11,2,2,7.377103
2010,11,2,3,7.69014
2010,11,2,4,5.730542
2010,11,2,5,4.409322
2010,11,2,6,3.864579
2010,11,2,7,6.585664
2010,11,3,0,7.696029
2010,11,3,1,7.277967
