####################################################################################################
# Month: 08Aug                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/YAN                                   #
# Columns are: year    month   day     segment         Pbase (mbar)                                #
####################################################################################################
year,month,day,segment,Pbase
2009,08,1,0,530.0535
2009,08,1,1,529.28173
2009,08,1,2,528.01383
2009,08,1,3,526.62771
2009,08,1,4,526.40902
2009,08,1,5,526.27484
2009,08,1,6,526.08329
2009,08,1,7,525.87069
2009,08,2,0,526.06959
2009,08,2,1,526.58401
2009,08,2,2,527.05243
2009,08,2,3,527.5811
2009,08,2,4,527.96955
2009,08,2,5,528.0547
2009,08,2,6,527.83294
2009,08,2,7,527.47822
2009,08,3,0,527.83735
2009,08,3,1,528.06971
2009,08,3,2,527.73389
2009,08,3,3,527.81123
2009,08,3,4,528.27793
2009,08,3,5,528.36776
2009,08,3,6,528.66898
2009,08,3,7,529.1378
2009,08,4,0,529.48789
2009,08,4,1,529.47795
2009,08,4,2,529.32074
2009,08,4,3,529.18099
2009,08,4,4,529.01396
2009,08,4,5,528.54978
2009,08,4,6,528.10425
2009,08,4,7,527.83312
2009,08,5,0,527.51431
2009,08,5,1,527.17184
2009,08,5,2,527.45554
2009,08,5,3,527.92963
2009,08,5,4,528.45632
2009,08,5,5,529.08915
2009,08,5,6,530.00901
2009,08,5,7,530.73849
2009,08,6,0,531.46712
2009,08,6,1,531.92083
2009,08,6,2,532.46341
2009,08,6,3,533.03383
2009,08,6,4,533.32336
2009,08,6,5,533.4469
2009,08,6,6,533.77518
2009,08,6,7,534.06546
2009,08,7,0,534.24484
2009,08,7,1,534.20427
2009,08,7,2,534.03746
2009,08,7,3,533.87305
2009,08,7,4,533.56387
2009,08,7,5,533.04623
2009,08,7,6,532.9692
2009,08,7,7,532.76408
2009,08,8,0,532.33688
2009,08,8,1,531.61985
2009,08,8,2,531.01863
2009,08,8,3,530.42979
2009,08,8,4,529.74398
2009,08,8,5,529.00246
2009,08,8,6,528.10534
2009,08,8,7,527.30584
2009,08,9,0,527.08455
2009,08,9,1,526.56595
2009,08,9,2,526.23507
2009,08,9,3,525.99863
2009,08,9,4,525.73926
2009,08,9,5,525.47577
2009,08,9,6,525.14401
2009,08,9,7,524.95337
2009,08,10,0,525.22608
2009,08,10,1,525.06493
2009,08,10,2,525.39598
2009,08,10,3,525.70885
2009,08,10,4,525.72221
2009,08,10,5,525.45059
2009,08,10,6,525.18083
2009,08,10,7,525.04095
2009,08,11,0,524.51476
2009,08,11,1,523.56321
2009,08,11,2,523.30705
2009,08,11,3,523.09732
2009,08,11,4,522.37536
2009,08,11,5,521.56854
2009,08,11,6,521.40038
2009,08,11,7,521.34734
2009,08,12,0,521.3301
2009,08,12,1,521.32201
2009,08,12,2,521.37752
2009,08,12,3,521.57698
2009,08,12,4,521.67392
2009,08,12,5,521.7347
2009,08,12,6,521.89553
2009,08,12,7,522.02414
2009,08,13,0,522.68125
2009,08,13,1,523.1868
2009,08,13,2,523.53404
2009,08,13,3,523.72533
2009,08,13,4,523.77038
2009,08,13,5,523.51719
2009,08,13,6,523.47071
2009,08,13,7,523.48241
2009,08,14,0,523.65022
2009,08,14,1,523.54074
2009,08,14,2,523.0577
2009,08,14,3,522.59429
2009,08,14,4,522.51278
2009,08,14,5,522.3758
2009,08,14,6,522.57694
2009,08,14,7,522.66794
2009,08,15,0,522.49525
2009,08,15,1,522.10541
2009,08,15,2,522.07526
2009,08,15,3,522.22558
