####################################################################################################
# Month: 12Dec                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/ATCA                                  #
# Columns are: year    month   day     segment         Tbase (K)                                   #
####################################################################################################
year,month,day,segment,Tbase
2009,12,1,0,299.1
2009,12,1,1,301.7
2009,12,1,2,301.8
2009,12,1,3,298.8
2009,12,1,4,298.5
2009,12,1,5,297.2
2009,12,1,6,296.1
2009,12,1,7,295.5
2009,12,2,0,294.6
2009,12,2,1,297.6
2009,12,2,2,299.3
2009,12,2,3,298.6
2009,12,2,4,297.1
2009,12,2,5,294.0
2009,12,2,6,291.2
2009,12,2,7,290.7
2009,12,3,0,293.9
2009,12,3,1,297.0
2009,12,3,2,298.5
2009,12,3,3,297.9
2009,12,3,4,294.5
2009,12,3,5,291.3
2009,12,3,6,290.7
2009,12,3,7,290.6
2009,12,4,0,294.2
2009,12,4,1,298.0
2009,12,4,2,299.9
2009,12,4,3,299.7
2009,12,4,4,298.3
2009,12,4,5,292.5
2009,12,4,6,292.5
2009,12,4,7,292.3
2009,12,5,0,294.7
2009,12,5,1,298.4
2009,12,5,2,300.3
2009,12,5,3,300.4
2009,12,5,4,300.1
2009,12,5,5,298.1
2009,12,5,6,294.0
2009,12,5,7,293.2
2009,12,6,0,295.8
2009,12,6,1,300.2
2009,12,6,2,301.9
2009,12,6,3,301.8
2009,12,6,4,301.4
2009,12,6,5,296.6
2009,12,6,6,295.2
2009,12,6,7,294.2
2009,12,7,0,295.4
2009,12,7,1,299.0
2009,12,7,2,299.7
2009,12,7,3,298.8
2009,12,7,4,298.8
2009,12,7,5,298.0
2009,12,7,6,294.2
2009,12,7,7,292.7
2009,12,8,0,294.9
2009,12,8,1,296.8
2009,12,8,2,297.0
2009,12,8,3,294.9
2009,12,8,4,294.5
2009,12,8,5,293.7
2009,12,8,6,291.4
2009,12,8,7,290.4
2009,12,9,0,293.6
2009,12,9,1,296.6
2009,12,9,2,298.2
2009,12,9,3,297.5
2009,12,9,4,291.1
2009,12,9,5,287.9
2009,12,9,6,288.2
2009,12,9,7,288.8
2009,12,10,0,292.8
2009,12,10,1,296.3
2009,12,10,2,297.5
2009,12,10,3,296.6
2009,12,10,4,295.7
2009,12,10,5,290.1
2009,12,10,6,288.9
2009,12,10,7,288.2
2009,12,11,0,290.7
2009,12,11,1,296.4
2009,12,11,2,298.2
2009,12,11,3,297.7
2009,12,11,4,297.0
2009,12,11,5,294.0
2009,12,11,6,291.9
2009,12,11,7,289.6
2009,12,12,0,292.0
2009,12,12,1,296.9
2009,12,12,2,299.1
2009,12,12,3,299.4
2009,12,12,4,297.1
2009,12,12,5,292.6
2009,12,12,6,292.2
2009,12,12,7,291.8
2009,12,13,0,294.5
2009,12,13,1,298.2
2009,12,13,2,300.1
2009,12,13,3,300.0
2009,12,13,4,296.7
2009,12,13,5,291.7
2009,12,13,6,290.8
2009,12,13,7,290.5
2009,12,14,0,293.3
2009,12,14,1,298.0
2009,12,14,2,300.6
2009,12,14,3,300.4
2009,12,14,4,299.5
2009,12,14,5,296.2
2009,12,14,6,292.5
2009,12,14,7,290.2
2009,12,15,0,293.5
2009,12,15,1,298.5
2009,12,15,2,300.4
2009,12,15,3,300.0
2009,12,15,4,299.9
2009,12,15,5,299.7
2009,12,15,6,299.4
2009,12,15,7,298.3
2009,12,16,0,299.1
2009,12,16,1,302.4
2009,12,16,2,304.1
