####################################################################################################
# Month: 05May                                                                                     #
# Station: ORG                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2015,05,26,6.38053138
2015,05,27,5.28525137
2015,05,28,3.55587212
2015,05,29,3.09596275
2015,05,30,6.43112588
2015,05,31,5.48390288
2016,05,1,8.89455787
2016,05,2,4.12973325
2016,05,3,4.83205025
2016,05,4,8.69100638
2016,05,5,5.06130238
2016,05,6,6.55893488
2016,05,7,6.16453525
2016,05,8,8.9273105
2016,05,9,12.92899525
2016,05,10,8.959241
2016,05,11,3.63476338
2016,05,12,6.35671388
2016,05,13,6.11067188
2016,05,14,6.71460862
2016,05,15,8.43072425
2016,05,16,7.8819465
2016,05,17,6.07150225
2016,05,18,4.55771063
2016,05,19,8.81808825
2016,05,20,6.25354038
2016,05,21,11.80904338
2016,05,22,8.73441762
2016,05,23,4.25327475
2016,05,24,3.17811812
2016,05,25,2.1360915
2016,05,26,4.38509425
2016,05,27,5.04527838
2016,05,28,3.16255062
2016,05,29,4.42828725
2016,05,30,6.12654238
2016,05,31,5.52660812
2017,05,1,10.556779
2017,05,2,8.740039
2017,05,3,3.97337925
2017,05,4,3.5660215
2017,05,5,10.61074988
2017,05,6,5.917371
2017,05,7,7.29119712
2017,05,8,6.628485
2017,05,9,4.28362975
2017,05,10,3.94458725
2017,05,11,7.94854538
2017,05,12,16.048057
2017,05,13,4.96861525
2017,05,14,3.2949845
2017,05,15,1.9096425
2017,05,16,9.32900875
2017,05,17,15.2496715
2017,05,18,11.94687025
2017,05,19,4.66809175
2017,05,20,4.82569625
2017,05,21,5.6157595
2017,05,22,3.19912888
2017,05,23,1.6048905
2017,05,24,10.70043925
2017,05,25,8.24650962
2017,05,26,7.31766088
2017,05,27,4.80979625
2017,05,28,2.56923962
2017,05,29,2.62115925
2017,05,30,4.43936462
2017,05,31,5.30233725
2018,05,1,5.50911437
2018,05,2,5.24574475
2018,05,3,7.01003438
2018,05,4,3.3554735
2018,05,5,4.59041138
2018,05,6,6.99230875
2018,05,7,3.96331038
2018,05,8,3.4028585
2018,05,9,8.98967138
2018,05,10,5.579852
2018,05,11,9.56472325
2018,05,12,14.34620262
2018,05,13,9.11550425
2018,05,14,7.99396225
2018,05,15,6.48810912
2018,05,16,2.40172437
2018,05,17,3.24514838
2018,05,18,6.2208525
2018,05,19,2.93458012
2018,05,20,4.07827412
2018,05,21,2.03560625
2018,05,22,4.60125162
2018,05,23,1.90699975
2018,05,24,5.365514
2018,05,25,5.97452612
2018,05,26,2.9792105
2018,05,27,8.41426987
2018,05,28,6.581385
2018,05,29,4.21742012
2018,05,30,6.91473462
2018,05,31,9.36973288
2019,05,1,5.57730287
2019,05,2,9.1399135
2019,05,3,4.30332088
2019,05,4,4.75671325
2019,05,5,3.66476925
2019,05,6,5.35708562
2019,05,7,7.547627
2019,05,8,10.95337438
2019,05,9,6.2904485
2019,05,10,9.00154575
2019,05,11,2.7698395
2019,05,12,3.480766
2019,05,13,6.52803812
2019,05,14,6.90941638
2019,05,15,6.97166138
2019,05,16,7.83404725
2019,05,17,9.74304112
2019,05,18,7.21560275
2019,05,19,6.8507465
2019,05,20,8.063984
2019,05,21,8.06641962
2019,05,22,9.485924
2019,05,23,10.26520788
2019,05,24,6.75726038
2019,05,25,4.98517525
2019,05,26,7.40532512
2019,05,27,6.78564763
2019,05,28,10.201995
2019,05,29,4.0349185
2019,05,30,3.93206462
2019,05,31,4.09433587
