####################################################################################################
# Month: 11Nov                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/BLDR                                  #
# Columns are: year    month   day     PWV (mm)                                                    #
####################################################################################################
year,month,day,PWV
2015,11,22,7.08134754
2015,11,23,7.04063667
2015,11,24,6.27357727
2015,11,25,7.17409187
2015,11,26,7.77008948
2015,11,27,7.7374786
2015,11,28,6.85135986
2015,11,29,7.95551477
2015,11,30,7.8173258
2015,11,31,8.91671571
2016,11,1,8.01985497
2016,11,2,8.50882205
2016,11,3,7.15274545
2016,11,4,7.60916299
2016,11,5,7.53968656
2016,11,6,7.93268984
2016,11,7,6.91962177
2016,11,8,6.74845948
2016,11,9,6.6758601
2016,11,10,6.83202792
2016,11,11,6.69153312
2016,11,12,7.04814399
2016,11,13,6.9305401
2016,11,14,7.00801532
2016,11,15,7.16944583
2016,11,16,6.94846698
2016,11,17,6.88648385
2016,11,18,6.62127219
2016,11,19,6.58903198
2016,11,20,7.37306467
2016,11,21,7.90940792
2016,11,22,8.75865073
2016,11,23,7.75326386
2016,11,24,7.00897229
2016,11,25,6.64861506
2016,11,26,5.68195004
2016,11,27,5.81639118
2016,11,28,6.30271021
2016,11,29,7.71172656
2016,11,30,8.17815148
2016,11,31,7.93492589
2017,11,1,6.7288569
2017,11,2,7.07051083
2017,11,3,6.82348078
2017,11,4,6.71919135
2017,11,5,7.24567725
2017,11,6,6.969889
2017,11,7,7.33263769
2017,11,8,8.00838948
2017,11,9,7.4698601
2017,11,10,7.32231852
2017,11,11,7.74287656
2017,11,12,7.38543906
2017,11,13,7.21014271
2017,11,14,6.79354615
2017,11,15,6.27402969
2017,11,16,7.12673688
2017,11,17,7.52462181
2017,11,18,7.99671448
2017,11,19,6.75420469
2017,11,20,7.3282025
2017,11,21,7.77948635
2017,11,22,7.834325
2017,11,23,7.95527281
2017,11,24,7.13721808
2017,11,25,6.86769062
2017,11,26,6.97954931
2017,11,27,6.95268729
2017,11,28,7.39083323
2017,11,29,7.80807761
2017,11,30,7.31248898
2017,11,31,8.62626821
2018,11,1,6.36506938
2018,11,2,6.87959033
2018,11,3,7.0171083
2018,11,4,6.72767146
2018,11,5,7.27638108
2018,11,6,7.59680079
2018,11,7,7.46407493
2018,11,8,7.49271385
2018,11,9,6.70903573
2018,11,10,5.95549589
2018,11,11,5.39689538
2018,11,12,5.72039365
2018,11,13,5.83825626
2018,11,14,6.41076312
2018,11,15,7.32567689
2018,11,16,6.69773709
2018,11,17,7.90225948
2018,11,18,7.59940357
2018,11,19,6.922475
2018,11,20,7.10105594
2018,11,21,6.99196906
2018,11,22,7.76298483
2018,11,23,7.78774986
2018,11,24,7.76415557
2018,11,25,6.19451891
2018,11,26,6.43780875
2018,11,27,6.4719561
2018,11,28,6.71191354
2018,11,29,6.61333844
2018,11,30,7.07029318
2018,11,31,6.72148589
2019,11,1,2.49484125
