####################################################################################################
# Month: 01Jan                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/SGO                                   #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2015,01,22,597.29245479
2015,01,23,598.83699177
2015,01,24,598.51415281
2015,01,25,597.16580833
2015,01,26,597.56324052
2015,01,27,598.01763729
2015,01,28,597.82314594
2015,01,29,597.50427148
2015,01,30,598.31742227
2015,01,31,596.80501821
2016,01,1,597.16248896
2016,01,2,598.43316614
2016,01,3,598.33861307
2016,01,4,597.49171068
2016,01,5,598.752965
2016,01,6,599.15062021
2016,01,7,598.48008312
2016,01,8,597.81625427
2016,01,9,598.24390604
2016,01,10,599.07711802
2016,01,11,599.30294625
2016,01,12,600.33914646
2016,01,13,601.43958625
2016,01,14,601.73596792
2016,01,15,602.8219274
2016,01,16,601.84938542
2016,01,17,601.39818083
2016,01,18,602.03523417
2016,01,19,600.9223251
2016,01,20,600.77173188
2016,01,21,600.74758094
2016,01,22,600.5569725
2016,01,23,599.66927688
2016,01,24,600.45058219
2016,01,25,600.7483874
2016,01,26,599.2509649
2016,01,27,598.18743458
2016,01,28,597.88229365
2016,01,29,599.44391104
2016,01,30,598.05726693
2016,01,31,596.45121607
2017,01,1,600.5347049
2017,01,2,600.72143177
2017,01,3,603.84240635
2017,01,4,604.377865
2017,01,5,602.78264625
2017,01,6,604.11321708
2017,01,7,603.85939938
2017,01,8,599.88659375
2017,01,9,598.25642448
2017,01,10,598.8166776
2017,01,11,598.68402948
2017,01,12,599.20008469
2017,01,13,599.6039699
2017,01,14,600.20911198
2017,01,15,601.4798576
2017,01,16,601.3461151
2017,01,17,600.31621406
2017,01,18,600.50206135
2017,01,19,600.71420219
2017,01,20,601.81207812
2017,01,21,602.56010813
2017,01,22,602.97628646
2017,01,23,602.41395917
2017,01,24,601.14918042
2017,01,25,600.11665885
2017,01,26,600.58924062
2017,01,27,600.39486844
2017,01,28,600.56551521
2017,01,29,599.71452091
2017,01,30,600.15031216
2017,01,31,598.47205125
2018,01,1,600.48692354
2018,01,2,600.90342552
2018,01,3,600.67404896
2018,01,4,600.90989458
2018,01,5,599.2377824
2018,01,6,598.68795698
2018,01,7,600.39002698
2018,01,8,601.95028938
2018,01,9,601.61085583
2018,01,10,601.98576562
2018,01,11,602.19365344
2018,01,12,601.06213458
2018,01,13,601.21886146
2018,01,14,601.33377219
2018,01,15,601.65483146
2018,01,16,602.33200573
2018,01,17,603.3800001
2018,01,18,602.53225594
2018,01,19,602.38098896
2018,01,20,603.30775906
2018,01,21,603.34187573
2018,01,22,603.25435437
2018,01,23,603.32534125
2018,01,24,602.72156135
2018,01,25,602.1586825
2018,01,26,603.02562312
2018,01,27,602.7990876
2018,01,28,602.30258438
2018,01,29,602.8031583
2018,01,30,602.87668057
2018,01,31,603.68289125
2019,01,1,606.05369875
