####################################################################################################
# Month: 10Oct                                                                                     #
# Station: SAN                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,10,25,1,8.556439
2009,10,25,2,6.930338
2009,10,25,3,7.152439
2009,10,25,4,6.146343
2009,10,25,5,6.169392
2009,10,25,6,6.972783
2009,10,25,7,8.866828
2009,10,26,0,10.938563
2009,10,26,1,10.366204
2009,10,26,2,7.720374
2009,10,26,3,6.117631
2009,10,26,4,6.854514
2009,10,26,5,6.084408
2009,10,26,6,5.75022
2009,10,26,7,6.716642
2009,10,27,0,7.201624
2009,10,27,1,8.469474
2009,10,27,2,10.398629
2009,10,27,3,13.419265
2009,10,27,4,19.800496
2009,10,27,5,26.404728
2009,10,27,6,27.104713
2009,10,27,7,22.862339
2009,10,28,0,17.808847
2009,10,28,1,8.176568
2009,10,28,2,13.222613
2009,10,28,3,17.28439
2009,10,28,4,17.860221
2009,10,28,5,14.761312
2009,10,28,6,15.357782
2009,10,28,7,15.721643
2009,10,29,0,18.43345
2009,10,29,1,19.033713
2009,10,29,2,17.323983
2009,10,29,3,18.609375
2009,10,29,4,18.419091
2009,10,29,5,17.215186
2009,10,29,6,16.411161
2009,10,29,7,17.081634
2009,10,30,0,21.448028
2009,10,30,1,22.686956
2009,10,30,2,20.70901
2009,10,30,3,19.070894
2009,10,30,4,15.899813
2009,10,30,5,14.354901
2009,10,30,6,12.998696
2009,10,30,7,11.275662
2009,10,31,0,9.330745
2009,10,31,1,8.292069
2009,10,31,2,5.235767
2009,10,31,3,3.060833
2009,10,31,4,4.204805
2009,10,31,5,5.387557
2009,10,31,6,5.972688
2009,10,31,7,6.546551
2010,10,1,0,5.830354
2010,10,1,1,11.111606
2010,10,1,2,12.130916
2010,10,1,3,9.797375
2010,10,1,4,8.350995
2010,10,1,5,6.8601
2010,10,1,6,4.991205
2010,10,1,7,3.519425
2010,10,2,0,2.61267
2010,10,2,1,3.150436
2010,10,2,2,2.98731
2010,10,2,3,2.990349
2010,10,2,4,3.480247
2010,10,2,5,4.597164
2010,10,2,6,4.792796
2010,10,2,7,4.299046
2010,10,3,0,4.481816
2010,10,3,1,4.836421
2010,10,3,2,6.093631
2010,10,3,3,8.038484
2010,10,3,4,8.961122
2010,10,3,5,9.947825
2010,10,3,6,10.901058
2010,10,3,7,10.751391
2010,10,4,0,13.052263
2010,10,4,1,14.212193
2010,10,4,2,12.971791
2010,10,4,3,14.001788
2010,10,4,4,16.098936
2010,10,4,5,15.822722
2010,10,4,6,16.588445
